2023-05-16 21:05:665 INFO  HomePage :80 - Click on checkout button [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //button[@id='checkout']]
2023-05-16 21:05:09 INFO  HomePage :42 - Click on register button [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //button[text()='Register']]
2023-05-16 21:05:45 INFO  HomePage :54 - Verify Text from Webpage
2023-05-16 21:05:132 INFO  HomePage :60 - Send text to First name : [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: FirstName]
2023-05-16 21:05:245 INFO  HomePage :66 - Send text to Last Name : [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: LastName]
2023-05-16 21:05:407 INFO  HomePage :72 - Send text to email : [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: Email]
2023-05-16 21:05:478 INFO  HomePage :78 - Send text to password : [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: Password]
2023-05-16 21:05:160 INFO  HomePage :90 - Click on register [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: register-button]
2023-05-16 21:05:193 INFO  HomePage :96 - Verify Text from Webpage
2023-05-16 21:05:523 INFO  HomePage :102 - Click on continue [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //a[contains(text(),'Continue')]]
2023-05-16 21:05:558 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:605 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (c023064687e2eff34a8d908759d16531)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:06 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:94 INFO  HomePage :147 - Mouse hover on Cellphone and click [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 21:05:202 INFO  CellPhonesPage :36 - Click on list view [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //a[contains(text(),'List')]]
2023-05-16 21:05:177 INFO  CellPhonesPage :42 - Click on product Nokia Lumia [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> css selector: div:nth-of-type(3) > .product-item h2 > a]
2023-05-16 21:05:204 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:234 INFO  HomePage :57 - Verify Text from Webpage
2023-05-16 21:05:357 INFO  HomePage :63 - Send text to quantity: [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: product_enteredQuantity_20]
2023-05-16 21:05:475 INFO  HomePage :69 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: add-to-cart-button-20]
2023-05-16 21:05:895 INFO  HomePage :75 - Verify Text from Webpage
2023-05-16 21:05:973 INFO  HomePage :81 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> css selector: span[title='Close']]
2023-05-16 21:05:180 INFO  HomePage :87 - Mouse hover on shopping cart [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //span[text()='Shopping cart']]
2023-05-16 21:05:199 INFO  HomePage :93 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //button[text()='Go to cart']]
2023-05-16 21:05:227 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:260 INFO  HomePage :94 - Verify Text from Webpage
